ID,字段名,类型,长度
67,FundCode,C,6
136,TAAccountID,C,12
120,TransactionAccountID,C,17
135,businessCode,A,3
9018,ContractType,C,1
9019,ElecContractNo,C,26
9042,Version,C,3
9043,SignType,C,1
121,DistributorCode,C,9
85,InvestorName,C,120
98,IndividualOrInstitution,C,1
27,CertificateType,C,1
72,CertificateNo,C,30
9020,SignDate,C,8
9021,SignTime,C,6
9022,SignChannel,C,1
9023,SignMachine,C,60
524,NetNo,C,9
9024,Notes,C,64
9025,SignRiskNotice,C,1
9026,RiskMatching,C,1
9027,RiskMatchResult,C,1
9028,ModifyDate,C,8
9029,CardNo,C,32
140,TelNo,C,22
9030,MobileNo,C,32
9031,Email,C,48
101,PostCode,C,6
9032,Addr,C,80
82,FundManagerCode,C,3
9044,ReservedField1,C,20
9045,ReservedField2,C,20
9046,ReservedField3,C,30
9047,ReservedField4,N,16(两位小数)
9048,ReservedField5,N,16(两位小数)
